ID,Part,Priority,Option,Market,Store,Price,Currency,HUF_Est,Status,Risk,Note,Source
SSD_03_UA,SSD,3,Samsung 990 PRO 2TB,Ukraine,Hotline broad lead,16689,UAH,112460,Watch,Medium,Fresh Ukraine premium SSD alternative,01_Market_Data/2026-06-21/SSD/2026-06-21_ssd_web_refresh.md
PSU_01_PL,PSU,1,be quiet! Pure Power 13 M 1000W,Poland,Media Expert / Avans,499,PLN,49100,Compare,Medium,Fresh exact Poland budget-leader row for compact 1000W ATX 3.1,01_Market_Data/2026-06-21/PSU/2026-06-21_psu_web_refresh.md
PSU_01_HU,PSU,1,be quiet! Pure Power 13 M 1000W,Hungary,firstshop.hu,48240,HUF,48240,Pick,Low,Fresh exact Hungary PSU leader from Arukereso page,01_Market_Data/2026-06-21/PSU/2026-06-21_psu_web_refresh.md
PSU_01_UA,PSU,1,be quiet! Pure Power 13 M 1000W,Ukraine,Hotline broad lead,7013,UAH,47257,Watch,Medium,Strong Ukraine budget PSU row with visible 10-year warranty seller rows,01_Market_Data/2026-06-21/PSU/2026-06-21_psu_web_refresh.md
PSU_02_PL,PSU,2,Seasonic Focus GX-1000 v4,Poland,proshop.pl,687,PLN,57069,Compare,Medium,Good unit; Poland exact store row is now freshly confirmed,01_Market_Data/2026-06-21/PSU/2026-06-21_psu_web_refresh.md
PSU_02_HU,PSU,2,Seasonic Focus GX-1000 2024,Hungary,Arukereso lead,57070,HUF,57070,Backup,Low,Fresh Hungary broad row for the Seasonic premium-value option,02_PC_Builds/01_Price_Refresh/2026-06-21/psu_market_snapshot.csv
PSU_02_UA,PSU,2,Seasonic Focus GX-1000 ATX 3.1,Ukraine,Hotline broad lead,8620,UAH,58086,Watch,Medium,Fresh Ukraine broad row for the Seasonic 1000W option,02_PC_Builds/01_Price_Refresh/2026-06-21/psu_market_snapshot.csv
PSU_03_PL,PSU,3,Corsair RM1000x ATX 3.1,Poland,Amazon.pl,647,PLN,53746,Backup,Medium,Strong Poland PSU option; fresh exact Amazon row still holds,01_Market_Data/2026-06-21/PSU/2026-06-21_psu_web_refresh.md
PSU_03_HU,PSU,3,Corsair RM1000x ATX 3.1,Hungary,oaziscomputer.hu,66200,HUF,66200,Watch,Low,Strong premium PSU but pricier,Raw_Captures/PSU
PSU_03_UA,PSU,3,Corsair RM1000x ATX 3.1,Ukraine,Hotline broad lead,8804,UAH,59326,Watch,Medium,Fresh Ukraine mainstream premium PSU row with visible warranty notes,01_Market_Data/2026-06-21/PSU/2026-06-21_psu_web_refresh.md
COOL_01_HU,Cooler,1,Arctic Liquid Freezer III Pro 360 A-RGB Black,Hungary,Arukereso lead,37888,HUF,37888,Pick,Low,Fresh Hungary A-RGB Arctic row from the 2026-06-21 cooler refresh,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_02_PL,Cooler,2,Arctic Liquid Freezer III Pro 360 Black,Poland,Ceneo lead,324,PLN,26915,Compare,Medium,Fresh Poland non-RGB Arctic row; still a strong value anchor,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_02_HU,Cooler,2,Arctic Liquid Freezer III Pro 360 Black,Hungary,Arukereso lead,32190,HUF,32190,Backup,Low,Fresh Hungary non-RGB Arctic row,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_03_PL,Cooler,3,DeepCool LE360 V2 ARGB Black,Poland,Ceneo lead,282.82,PLN,23028,Compare,Medium,Fresh Poland DeepCool broad row; exact black/ARGB naming should still be sanity-checked before ordering,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_03_HU,Cooler,3,DeepCool LE360 V2 ARGB Black,Hungary,Arukereso lead,23990,HUF,23990,Backup,Medium,Fresh Hungary DeepCool broad row,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_03_UA,Cooler,3,DeepCool LE360 V2 Black,Ukraine,Hotline broad lead,3979,UAH,26813,Watch,Medium,Cheapest confidently captured Ukraine 360 mm cooler option today,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_04_PL,Cooler,4,MSI MAG CoreLiquid A13 360 Black,Poland,Ceneo lead,248,PLN,20601,Compare,Medium,Straight Poland comparison from the fresh cooler refresh,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_04_HU,Cooler,4,MSI MAG CoreLiquid A13 360 Black,Hungary,Arukereso broad search,27777,HUF,27777,Watch,Medium,MSI-branded visual alternative; still less trusted than Arctic on value,Raw_Captures/Case_Cooling
COOL_04_UA,Cooler,4,MSI MAG CoreLiquid A13 360 Black,Ukraine,Hotline broad lead,3355,UAH,22608,Watch,Medium,"Lowest captured Ukraine cooler floor, but product-level quality comfort is lower than Arctic",01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_05_HU,Cooler,5,Gigabyte GME 360 Gaming CPU Cooler Black,Hungary,Arukereso broad search,31800,HUF,31800,Watch,Medium,Looks fine on paper but not clearly better than Arctic at similar money,Raw_Captures/Case_Cooling
COOL_06_PL,Cooler,6,be quiet! Pure Loop 3 LX 360mm Black,Poland,Ceneo lead,429,PLN,32786,Compare,Medium,Fresh Poland premium quiet-brand row from the current cooler refresh,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_06_HU,Cooler,6,be quiet! Pure Loop 3 LX 360mm Black,Hungary,Arukereso broad search,34600,HUF,34600,Watch,Low,Premium quiet-brand alternative if aesthetics or brand preference matter,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
COOL_06_UA,Cooler,6,be quiet! Pure Loop 3 LX 360mm Black,Ukraine,Hotline broad lead,5511,UAH,37136,Watch,Medium,Fresh Ukraine premium quiet-brand 360 row,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md
CASE_01_HU,Case,1,Corsair 3500X ARGB Black,Hungary,Arukereso lead,31990,HUF,31990,Pick,Low,Current case baseline; local because glass case logistics,Raw_Captures/Case_Cooling
CASE_02_HU,Case,2,Corsair 3500X Black plain,Hungary,Arukereso lead,21326,HUF,21326,Watch,Low,Cheapest Corsair path; fan planning needed,Raw_Captures/Case_Cooling
CASE_03_HU,Case,3,Phanteks XT View TG D-RGB Black,Hungary,Arukereso lead,27901,HUF,27901,Backup,Medium,Cheap visual backup; check clearance/build quality,Raw_Captures/Case_Cooling
CASE_04_HU,Case,4,NZXT H6 Flow RGB All Black,Hungary,Arukereso lead,44444,HUF,44444,Watch,Low,Nice case but Corsair is cheaper,Raw_Captures/Case_Cooling
CASE_05_HU,Case,5,Lian Li O11 Vision Compact Black,Hungary,Arukereso lead,43290,HUF,43290,Compare,Medium,Best compact premium look for Ventus-sized GPU; fan cost still needs to be added,Raw_Captures/Case_Cooling
CASE_06_HU,Case,6,NZXT H9 Flow Black,Hungary,oaziscomputer.hu,54190,HUF,54190,Compare,Low,Best roomy clean-look case if pairing with larger premium GPU; includes fans,Raw_Captures/Case_Cooling
CASE_07_HU,Case,7,Montech KING 95 PRO TG ARGB Black,Hungary,Arukereso lead,55790,HUF,55790,Compare,Medium,Best all-in value if included fans are counted honestly,Raw_Captures/Case_Cooling
CASE_08_HU,Case,8,Lian Li O11D EVO RGB TG Black,Hungary,Arukereso lead,59990,HUF,59990,Watch,Medium,Beautiful premium Lian Li direction but real cost rises after fans,Raw_Captures/Case_Cooling
CASE_09_HU,Case,9,Lian Li O11 Dynamic Mini V2 TG Black,Hungary,Arukereso lead,33090,HUF,33090,Watch,Medium,Compact and pretty but more experimental for Ryzen 9 plus future RTX 5080,Raw_Captures/Case_Cooling
CASE_10_HU,Case,10,Phanteks NV9 MK2 Black,Hungary,Arukereso lead,84499,HUF,84499,Avoid,Medium,Beautiful oversized showcase case but too expensive and fan cost still needs to be added,Raw_Captures/Case_Cooling
CASE_11_HU,Case,11,Lian Li O11 Dynamic EVO XL Black,Hungary,Arukereso lead,89900,HUF,89900,Avoid,Medium,Too expensive and too large for the current build logic,Raw_Captures/Case_Cooling
CASE_12_HU,Case,12,NZXT H7 Flow 2024 All Black (CM-H72FB-01),Hungary,Arukereso exact product,42630,HUF,42630,Watch,Low,Fresh airflow-oriented case candidate from the sorted 2026-06-21 capture,01_Market_Data/2026-06-21/Case/2026-06-21_case_web_refresh.md
CASE_13_HU,Case,13,Corsair Frame 4000D RS Wood (CC-9011340-WW),Hungary,Arukereso exact product,50400,HUF,50400,Watch,Medium,Fresh premium airflow and aesthetics case candidate from the sorted 2026-06-21 capture,01_Market_Data/2026-06-21/Case/2026-06-21_case_web_refresh.md
GPU_00_NONE,GPU,0,No GPU yet,No GPU,Local,0,HUF,0,Pick,Low,First purchase excludes expensive GPU; phase 1 uses Ryzen integrated graphics,RTX5080_WORKING_SHORTLIST
GPU_01_PL,GPU,1,MSI RTX 5080 Ventus 3X OC 16GB,Poland,Ceneo broad lead,5599.99,PLN,406960,Watch,Medium,Fresh Poland Ventus broad row is much higher than the older x-kom capture,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_01_HU,GPU,1,MSI RTX 5080 Ventus 3X OC 16GB,Hungary,Arukereso broad lead,498580,HUF,498580,Compare,Medium,Fresh Hungary Ventus broad row remains far above the Ukraine lead,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_01_UA,GPU,1,MSI RTX 5080 Ventus 3X OC 16GB,Ukraine,LuckyLink via Hotline,59250,UAH,399259,Watch,Medium,Best current exact Ukraine GPU evidence; still check warranty/payment/delivery before final purchase,"01_Market_Data/2026-06-21/GPU/Відеокарта MSI GeForce RTX 5080 16G VENTUS 3X OC - купити в Києві та Україні, вигідна ціна.md"
GPU_02_PL,GPU,2,MSI RTX 5080 Gaming Trio OC 16GB,Poland,Ceneo lead,5599,PLN,465109,Backup,Medium,Better cooler/class than Ventus; costs more,Raw_Captures/GPU
GPU_02_HU,GPU,2,MSI RTX 5080 Gaming Trio OC 16GB,Hungary,Arukereso broad lead,538440,HUF,538440,Compare,Medium,Fresh Hungary premium MSI row; currently expensive versus Ukraine,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_03_PL,GPU,3,Gigabyte RTX 5080 Gaming OC 16GB,Poland,Ceneo lead,5799,PLN,481723,Backup,Medium,Good long-term Gigabyte option; compare seller/warranty,Raw_Captures/GPU
GPU_03_HU,GPU,3,Gigabyte RTX 5080 Gaming OC 16GB,Hungary,oaziscomputer.hu,526400,HUF,526400,Compare,Medium,Best Gigabyte Hungary premium-value comparison,Raw_Captures/GPU
GPU_04_PL,GPU,4,Inno3D RTX 5080 X3 OC 16GB,Poland,Techberg via Ceneo,5099,PLN,463448,Compare,Medium,Fresh exact Poland row is much better than the older broad X3 figure,01_Market_Data/2026-06-21/GPU/Karta graficzna INNO3D GeForce RTX 5080 X3 16 GB GDDR7 DLSS4.md
GPU_04_HU,GPU,4,Inno3D RTX 5080 X3 OC 16GB,Hungary,Arukereso lead,465640,HUF,465640,Backup,Medium,Best cheap Hungary RTX 5080 value lead,RTX5080_WORKING_SHORTLIST
GPU_05_PL,GPU,5,Gigabyte RTX 5080 Windforce OC SFF 16GB,Poland,Ceneo lead,5475.58,PLN,443888,Watch,High,Fresh Poland SFF/basic-cooler row; not first long-term choice,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_05_HU,GPU,5,Gigabyte RTX 5080 Windforce OC SFF 16GB,Hungary,Arukereso lead,469990,HUF,469990,Watch,High,Cheap local option but SFF cooler risk,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_02_UA,GPU,2,MSI RTX 5080 Gaming Trio OC 16GB,Ukraine,Hotline exact product,65400,UAH,444596,Watch,Medium,Better cooler class than Ventus from current Ukraine GPU snapshot; seller terms still need final audit,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_06_PL,GPU,6,Zotac RTX 5080 Solid Core OC 16GB,Poland,Allegro exact,5199,PLN,429821,Watch,Medium,Exact Allegro offer captured; check seller and warranty before purchase,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_reviewed_options.csv
GPU_07_PL,GPU,7,Gainward RTX 5080 Phoenix 16GB,Poland,x-kom exact,5299,PLN,438088,Watch,Low,Exact x-kom offer with stronger store confidence than marketplace rows,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_reviewed_options.csv
GPU_08_PL,GPU,8,Palit RTX 5080 GamingPro OC 16GB,Poland,Allegro exact,5351,PLN,442387,Watch,Medium,Exact Allegro row; valid fallback if seller terms check out,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_reviewed_options.csv
GPU_09_PL,GPU,9,MSI RTX 5080 Shadow 3X OC 16GB,Poland,Ceneo broad search,5299,PLN,438088,Watch,High,Cheap broad Poland row with only two shops; exact seller still needed,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_reviewed_options.csv
GPU_06_HU,GPU,6,Gainward RTX 5080 Phoenix V1 16GB,Hungary,Arukereso broad lead,450690,HUF,450690,Watch,Medium,Best current Hungary broad RTX 5080 lead; exact store still needed,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_07_HU,GPU,7,Gainward RTX 5080 Phoenix 16GB,Hungary,Arukereso broad lead,458390,HUF,458390,Watch,Medium,Local broad backup; exact store still needed,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_08_HU,GPU,8,Palit RTX 5080 GamingPro 16GB,Hungary,Arukereso broad lead,458390,HUF,458390,Watch,Medium,Local broad backup; exact store still needed,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_market_snapshot.csv
GPU_09_HU,GPU,9,Manli RTX 5080 Nebula 16GB,Hungary,Arukereso broad search,460250,HUF,460250,Watch,High,Very cheap Hungary broad row but brand and cooler confidence are lower,02_PC_Builds/01_Price_Refresh/2026-06-21/gpu_reviewed_options.csv
MB_01_PL_BROAD,Motherboard,1,MSI MAG B850 Tomahawk MAX WiFi,Poland,Ceneo broad floor,918.90,PLN,75980,Watch,Medium,Current broad Poland floor across many stores; exact seller still needed before purchase,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_05_PL,Motherboard,5,ASRock B850 PRO RS AM5,Poland,Ceneo broad lead,578.11,PLN,47794,Backup,Medium,Cheapest decent B850 option in Poland snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_06_PL,Motherboard,6,Gigabyte B850 AORUS Elite WiFi7,Poland,Ceneo broad lead,751.30,PLN,62113,Backup,Medium,Strong cheaper B850 WiFi7 alternative from Poland snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_07_PL,Motherboard,7,ASUS TUF Gaming B850 Plus WiFi,Poland,Ceneo broad lead,789.99,PLN,65311,Backup,Medium,ASUS TUF B850 fallback from Poland snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_05_HU,Motherboard,5,ASRock B850 STEEL LEGEND WiFi,Hungary,Arukereso broad lead,65600,HUF,65600,Backup,Medium,Best-value Hungary B850 backup in current snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_06_HU,Motherboard,6,ASUS TUF Gaming B850M-Plus WiFi7,Hungary,Arukereso broad lead,67490,HUF,67490,Backup,Medium,Cheaper MicroATX WiFi7 alternative from Hungary snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_07_HU,Motherboard,7,GIGABYTE B850 AORUS Elite WiFi7,Hungary,Arukereso broad lead,75800,HUF,75800,Backup,Medium,Hungary ATX WiFi7 backup board from snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_08_HU,Motherboard,8,GIGABYTE X870 EAGLE WiFi7,Hungary,Arukereso broad lead,75930,HUF,75930,Watch,Medium,Legit X870 at B850-like pricing from Hungary snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
RAM_05_UA,RAM,5,GOODRAM IRDM 64GB 2x32 DDR5-6000 CL30,Ukraine,Hotline broad lead,44472,UAH,302325,Watch,Medium,Ukraine 64GB CL30 backup from current RAM snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_06_UA,RAM,6,Kingston Fury Beast 64GB DDR5-6000 CL30,Ukraine,Hotline broad lead,45499,UAH,309307,Watch,Medium,Ukraine Kingston 64GB CL30 backup from current RAM snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_07_UA,RAM,7,Crucial Pro 64GB DDR5-6000 CL40,Ukraine,Hotline broad lead,36058,UAH,245126,Backup,High,Cheaper 64GB fallback but CL40 is a performance compromise,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_05_PL,RAM,5,Kingston Fury Beast RGB 64GB DDR5-6000 CL30,Poland,Ceneo broad lead,3417.77,PLN,282560,Watch,Medium,Poland Kingston 64GB CL30 backup from current RAM snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_06_PL,RAM,6,G.Skill Aegis 5 64GB DDR5-6000 CL36,Poland,Ceneo broad lead,2999,PLN,247938,Backup,High,Cheaper 64GB fallback but CL36 is below target CL30 tier,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_07_PL,RAM,7,Patriot Viper Venom 64GB DDR5-6000 CL36,Poland,Ceneo broad lead,3099.99,PLN,256288,Backup,High,Cheaper Patriot fallback but CL36 is below target CL30 tier,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_05_HU,RAM,5,Kingston Fury Beast 64GB 2x32 DDR5-6000 CL30,Hungary,Arukereso broad lead,316420,HUF,316420,Backup,Medium,Hungary Kingston 64GB CL30 backup from current RAM snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_06_HU,RAM,6,Silicon Power XPower Zenith 64GB 2x32 DDR5-6000 CL30,Hungary,Pepita marketplace,225090,HUF,225090,Watch,High,Suspiciously cheap exact marketplace row; verify before treating as buyable,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_reviewed_options.csv
SSD_04_PL,SSD,4,Kioxia Exceria Plus G4 2TB PCIe 5,Poland,Ceneo broad lead,949,PLN,78457,Watch,Medium,Interesting PCIe 5 anomaly cheaper than many PCIe 4 drives; exact store validation needed,02_PC_Builds/01_Price_Refresh/2026-06-21/ssd_market_snapshot.csv
SSD_05_PL,SSD,5,MSI Spatium M470 PRO 2TB,Poland,Ceneo broad lead,1026.50,PLN,84865,Backup,Medium,Poland PCIe 4 budget option from current SSD snapshot,02_PC_Builds/01_Price_Refresh/2026-06-21/ssd_market_snapshot.csv
